Name,Ratings,genres,overview,Year,Cast
Yeh Rishta Kya Kehlata Hai,2.2,Drama,"The story was about Akshara and Naitik who were bounded by arrange marriage, how the two fell in love and how they faced the little problems that come in everyone's lives. Kartik and Naira ...                See full summary »",2009– ,"Gaurav Pareek ,Hina Khan ,Karan Mehra ,Ayush Agarwal"
Sapna Babul Ka.... Bidaai,5.2,Drama,The trials and tribulations of sisters Ragini and Sadhna. Ragini and Sadhna are different in terms of beauty.,2007–2010,"Parul Chauhan ,Sara Khan ,Angad Hasija ,Kinshuk Mahajan"
Baa Bahoo Aur Baby,8.3,"Comedy, Drama","Tracks the story of an elderly woman Godavari Thakkar and her family, consisting of 6 sons, 2 daughters and their spouses and children. Godavari, who hails from a very poor family, lives in her father's huge mansion, the famous Krishna Villa in Parla East, Mumbai, given to her by her brothers who are settled in the United States.",2005–2010,"Sarita Joshi ,Arvind Vaidya ,Benaf Dadachandji ,Deven Bhojani"
Des Mein Niklla Hoga Chand,5.9,"Drama, Romance",Pammi a NRI living in London engaged to Rohan falls in Love with Dev on her Visit to India.,2001–2005,"Sangeeta Ghosh ,Varun Badola ,Arun Bali ,Aruna Irani"
Sanjivani: A Medical Boon,7.6,Drama,"A story about four medical interns (Juhi, Rahul, Simran and Omi). All of them have joined Sanjivani Hospital as interns.",2002–2005,"Mohnish Bahl ,Gurdeep Kohli ,Mihir Mishra ,Sanjeet Bedi"
Kehta Hai Dil,,"Drama, Family","Kehta Hai Dil is the story of a family who lives in the small, idyllic town of Anand Nagar. It is the family of Superintendent of Police (SP) Aditya Pratap Singh, Dr. Jaya Singh, and their ...                See full summary »",,"Aman Verma ,Swapnil Joshi ,Grusha Kapoor ,Rushad Rana"
Rishton Ka Chakravyuh,8.0,Drama,"Set amidst the royal backdrop, the show focuses on a rich industrial family residing at the majestic Lal Mahal, which is home to many conspiracies. It depicts the story of Satrupa, an authoritative woman and her daughter Anami.",2017–2018,"Mahima Makwana ,Ravi Pannu ,Ankit Siwach ,Narayani Shastri"
Saara Akaash,6.9,"Action, Drama, Romance","Explores the dedication and determination of each of these officers, and also tries to delve into the friendship, love, heartbreak and tragedies.",2003– ,"Shakti Anand ,Sai Deodhar ,Karan Kapoor ,Sonal Sehgal"
Shaurya Aur Suhani,6.8,Fantasy,"This is a tale of two lovers. A tale imbibed in magic, Suhani the princess of Kalpi kingdom falls for the brave and handsome Shaurya, a commoner. He is unaware of his royal heritage, that ...                See full summary »",2009,"Saurabh Pandey ,Sriti Jha ,Viineet Choudhary ,Manish Wadhwa"
Raja Ki Aayegi Baraat,7.2,Family,The journey of a Rani as she goes from a servant to the queen of the palace and how she manages the responsibilities of a queen and the elder daughter-in-law.,2008–2010,"Anjali Abrol ,Mrinal Kulkarni ,Kapil Nirmal ,Sachin Nayak"
Kabhi Aaye Naa Judaai,0.0,Drama,The story of a united family which finds itself confronted with the biggest temptation of all times - money.,2003–2005,"Pooja Ghai Rawal ,Prabhat Bhattacharya ,Pamela Mukherjee ,Sanjeev Tyagi"
Saarrthi,8.2,Drama,"The story is a reworking of the Hindu epic, the Mahabharata, detailing the conflict between two brothers and their families in contemporary India.",2004–2008,"Nawab Shah ,Karan V. Grover ,Neha Devi Singh ,Vije Bhatia"
Karam Apnaa Apnaa,6.5,Drama,A small town girl who goes through a lot of hardships and finally comes out with triumphant colors.,2006–2009,"Pallavi Subhash Shirke ,Yash Tonk ,Gauri Tonk ,Iqbal Khan"
Kayamath,7.6,Drama,The story centers around Praachi - a simple girl with dreams in her eyes. Praachi draws her strength from her father Inder Goenka . Praachi's life is completely transformed when her father dies. Circumstances change her life.,2007–2009,"Panchi Bora ,Sanjeeda Sheikh ,Shabbir Ahluwalia ,Jay Bhanushali"
Kahiin To Hoga,4.5,Drama,"A story of five sisters who are brought up with middle-class values. The eldest sister Kashish, falls for a rich industrialist named Sujal, unaware that he will be responsible for ruining her life.",2003–2007,"Aamna Sharif ,Rajeev Khandelwal ,Rohit Bakshi ,Neetha Shetty"
Kumkum: Ek Pyara Sa Bandhan,2.2,"Drama, Family","Kumkum marries Jatin, the grandson of the Wadhwa family. Soon after their marriage, Jatin dies of brain tumour. Worried about Kumkum's future, the family decides to get her married again.",2002–2009,"Juhi Parmar ,Hussain Kuwajerwala ,Rita Bhaduri ,Prabha Sinha"
Ek Hasina Thi,8.0,Drama,"Durga is out to avenge the crimes committed by Shaurya, a playboy and the scion of the powerful Goenka family of Kolkata.",2014,"Simone Singh ,Sanjeeda Sheikh ,Ayub Khan ,Vicky Arora"
Ikyawann,7.1,Drama,"Ikyawann is a Hindi TV serial aired on Star Plus. It is about Susheel Parekh, an awkward, diffident girl who is unsure of her place in the world but learns with time to fight life's problems.",2017–2018,"Prachi Tehlan ,Namish Taneja ,Nabeel Mirajkar ,Jai Vats"
Ishqbaaaz,4.7,"Drama, Family, Romance","The story is about three brothers - Shivaay, Omkara and Rudra -- who share an unbreakable bond despite their dysfunctional family.",2016–2019,"Gaurav Pareek ,Nakuul Mehta ,Surbhi Chandna ,Kunal Jaisingh"
Meri Durga,7.3,Drama,"Yashpal is illiterate and works as a peon in a school. Despite no social encouragement for female education, Yashpal aspires to educate his daughter, Durga, But Durga's calling lies elsewhere.",2017–2018,"Paras Kalnawat ,Vicky Ahuja ,Srishti Jain ,Sanjeev Sharma"
Naamkarann,6.7,"Action, Drama, Romance","Naamkaran is the story of an illegitimate 11 year old girl, Avni Ayesha, who tries to give herself a legitimate identity despite cruel obstacles by her own grandmother Dayawanti Mehta.",2016–2018,"Ritu Vashisht ,Aditi Rathore ,Zain Imam ,Reema Lagoo"
Tu Sooraj Main Saanjh Piyaji,7.6,Drama,"After her parents' death, Kanak stays with her grandmother, Bhabho. Although Bhabho hates her, Kanak secretly wishes to win her love one day.",2017–2018,"Rhea Sharma ,Avinesh Rekhi ,Swati Kapoor ,Neelu Vaghela"
Akkad Bakkad Bambey Bo,7.6,Fantasy,"The story revolves around the life of a ghost of a road side vendor, who has to perform a certain number of good deeds to go on to heaven, and his upmarket friends who he refers to as babua log.",2005,"Devender Chaudhry ,Vijay Ganju ,Pratik Jain ,Menaka Lalwani"
Karishma Kaa Karishma,7.1,"Comedy, Family, Fantasy",Karishma is a Robot created by a scientist Vikram. And adventures follows by Karishma robot.,2003–2004,"Jhanak Shukla ,Sanjeev Seth ,Tisca Chopra ,Eva Grover"
Ek Chabi Hai Pados Mein,7.7,"Comedy, Drama","The show focuses on the lives of the residents of Colonelgunj, a mohalla located in Allahabad. The mohalla is very diverse, with residents of all faiths from all parts of India. Together, ...                See full summary »",2006–2008,
Burey Bhi Hum Bhale Bhi Hum,0.0,Comedy,A joint Family Drama - How can such a big joint family live in together.,2009,"Shruti Bafna ,Manoj Goyal ,Firoz Irani ,Preeti Joshi"
Gharwali Uparwali Aur Sunny,6.2,Comedy,Add a Plot,2003–2004,"Kaivalya Chheda ,Mukul Dev ,Micky Dhamejani ,Seema Kapoor"
Khichdi,8.6,Comedy,"A family comedy about an angry old man, his good-for-nothing son Praful and daughter-in-law Hansa, widowed daughter-in-law Jayshree, and grandchildren Jackie and Chakki, who are the smartest ones of all.",2002– ,"Anang Desai ,Rajeev Mehta ,Supriya Pathak ,Vandana Pathak"
Hum Saath Aath Hai,7.7,Family,"Satya Prakash Kapoor, a widower, is a teacher by profession. He has imparted traditional family values to his sons Ram and Laxman. One of his major desires in life is to find ""ideal Indian bahus"" for his sons.",2001–2003,"Zoya Afroz ,Kaivalya Chheda ,Ketki Dave ,Seema Kapoor"
Sumit Sambhal Lega,9.2,Comedy,"Sumit, a reckless young man, runs away from responsibilities. Moreover, without understanding the seriousness of the situation, he ends up making a mockery of it.",2015–2016,"Namit Das ,Manasi Parekh ,Bharti Achrekar ,Satish Kaushik"
Tu Mera Hero,7.0,Drama,"Lazy, affable Titu's charm sweeps Panchi, the girl-next door off her feet. Watch them go on this joy ride as they follow different dreams.",2014–2015,"Priyansh Jora ,Sonia Balani ,Amita Khopkar ,Akhilendra Mishra"
Tu Tu Main Main,8.3,Comedy,A hilarious comedy featuring a dominant mother-in-law and her equally boisterous daughter-in-law.,1994– ,"Reema Lagoo ,Supriya Pilgaonkar ,Mahesh Thakur ,Kuldeep Pawar"
Aarambh,7.2,Drama,Set in ancient India during the age of Vedas the epic tale follows the war between the Dravidians and the Aryans.,2017,"Salman Shaikh ,Aarav Choudhary ,Nishant Tanwar ,Amir Malik"
Airlines,8.6,Drama,Add a Plot,2014–2015,"Tulip Joshi ,Rahul Tiwari Adhiyari ,Sima Pari ,Deepak Arora"
Behenein,8.0,Drama,Add a Plot,2010–2011,"Aalesha Sayed ,Shiju Kataria ,Ojaswi Oberoi ,Adaa Khan"
Chandra Nandini,7.0,"Drama, History, Romance","A drama about Chandragupta, the founder of the Maurya empire, a great warrior and ruler, known for uniting the Indian sub-continent. However, there remains his unexplored love story with ...                See full summary »",2016–2021,"Rajat Tokas ,Shweta Basu Prasad ,Manish Uppal ,Abhishek Singh"
Dekho Magar Pyaar Se,0.0,Drama,"Everyone loves Nikita. She is a beautiful, sweet-natured Girl. Her beautiful life changed when tragedy takes her mother's life and Nikki is forced to live under the hateful grip of her ...                See full summary »",2004–2005,"Reena Kapoor ,Shraddha Nigam ,Priyanka Bassi ,Kushal Punjabi"
Dhhai Kilo Prem,6.1,Drama,"Set in Agra, this is an unusual love story of Deepika and Piyush. Deepika doesn't care about her looks while weight issues bother Piyush.",2017,"Ajay Kumar Nain ,Meherzan Mazda ,Vikram ,Anjali Anand"
Dharti Ka Veer Yodha Prithviraj Chauhan,7.9,"Drama, History",The historical story begins with the childhood of Prithviraj.It shows how he became the king.The begins the epic love story of Prithviraj and Sanyogita and how Mohammed Ghor attack Delhi.,2006–2009,"Rajat Tokas ,Mugdha Chaphekar ,Jas Arora ,Vinod Kapoor"
Dil Boley Oberoi,6.1,Romance,Dil Boley Oberoi is a spin off of the 2016 show Ishqbaaaz (2016). The show will mainly focus on the love stories of the brothers Omkara and Rudra.,2017,"Kunal Jaisingh ,Shrenu Parikh ,Leenesh Mattoo ,Mansi Srivastava"
Dil Sambhal Jaa Zara,7.7,Drama,"Ahana, a young girl navigating her life in urban India, gets caught in a web of relationships when she meets Anant, a middle-aged man.",2017,"Amitt k Singh ,Neelam Singh ,Sanjay Kapoor ,Smriti Kalra"
Diya Aur Baati Hum,4.1,"Drama, Romance","Who is a soulmate? She, who willingly forgets all her dreams and aspirations and takes on her husband's aspirations as her own or he who fights all odds, including his family to stand by his wife and ensure that she fulfills her dream....?",2011–2017,"Deepika Singh ,Anas Rashid ,Neil Bhatt ,Kunal Khosla"
Dosti... Yaariyan... Manmarziyan,8.3,Drama,"Radhika Mishra and Samaira Khanna two young women who are friends but hail from different backgrounds. Radhika, a reserved but amiable middle class girl, loves to write. She desires to ...                See full summary »",2015,"Monica Sehgal ,Aham Sharma ,Shravan Reddy ,Kashmira Irani"
Ek Aastha Aisi Bhee,7.5,Drama,Aastha is an atheist who gets married into a religious family and ultimately changes their outlook towards God and religious beliefs.,2017,"Hemant Choudhary ,Tina Philip ,Kanwar Dhillon ,Rahul R.S. Gupta"
Ek Hazaaron Mein Meri Behna Hai,5.6,Drama,Two sisters who love each other enough to share their life and breath with each other.,2011–2013,"Krystle D'Souza ,Nia Sharma ,Karan Tacker ,Kushal Tandon"
Ek Nanad Ki Khushiyon Ki Chaabi... Meri Bhabhi,6.8,Drama,"Ek Nanad Ki Khushiyon Ki Chaabi, Meri Bhabhi is a show about the lovely bond shared between a sister-in-law and daughter-in-law. Shraddha the nanad finds a friend in Kritika her bhabhi. ...                See full summary »",2013–2014,"Kanchi Kaul ,Esha Kansara ,Vipul Gupta ,Ravish Desai"
Ek Veer Ki Ardaas: Veera,7.5,Family,"Rannvijay raises his half-sister, Veera, like his own child and nurtures her. However, their mother, Ratan, shows her contempt towards Veera on the outside but helps her son raise her nonetheless.",2012–2015,"Digangana Suryavanshi ,Shivin Narang ,Vishal Vashishtha ,Farnaz Shetty"
Gulmohar Grand,8.2,Drama,Gulmohar Grand is a prestigious hotel in the city. People from all around the world comes here to stay. Along with the guests comes new issues and problems. Gulmohar Grand staffs try to ...                See full summary »,2015,"Aakanksha Singh ,Gaurav Chopra ,Aashim Gulati ,Madan Joshi"
Humko Tumse Ho Gaya Hai Pyaar Kya Karein,7.2,Drama,Add a Plot,2016,"Ishani Sharma ,Varun Toorkey ,Deepti Sharma ,Sudhir Pandey"
Ishq Kills,6.6,"Crime, Drama, Romance","Love in its darkest form can lead to crimes of obsession and passion. Love, sin & retribution around forbidden relationships. 26 episodes inspired by True Stories.",2014,"Rajveer Singh ,Priyal Gor ,Puneet Vashisht ,Vaibhavi Upadhyaya"
Iss Pyaar Ko Kya Naam Doon,7.5,"Drama, Romance","Arnav, a wealthy business tycoon, decides to ruin Khushi's reputation after he thinks she sabotaged one of his events. Meanwhile, Khushi quietly suffers for the crimes she didn't commit.",2011–2018,"Barun Sobti ,Sanaya Irani ,Daljeet Kaur ,Deepali Pansare"
Iss Pyaar Ko Kya Naam Doon? Ek Baar Phir,5.7,Romance,Add a Plot,2013–2015,"Avinash Sachdev ,Shrenu Parikh ,Manish Wadhwa ,Geetanjali Tikekar"
Iss Pyaar Ko Kya Naam Doon 3,5.0,"Drama, Music, Mystery",Advay Singh Raizada and Chandni Narayan Vashishth's intense love story of revenge and redemption.,2017,"Barun Sobti ,Shivani Tomar ,Smriti Khanna ,Ritu Shivpuri"
Jaana Na Dil Se Door,7.9,"Drama, Family, Romance","In spite of having contrasting personalities, Vividha and Atharv end up falling in love with each other. However, the differences in their social background cause trouble in their relationship.",2016–2017,"Shivani Surve ,Vikram Singh Chauhan ,Shashank Vyas ,Anupriya Parmar"
Kashmeer,7.8,Drama,A triangle love saga set on the background of Kashmeer.,2003–2004,"Neelima Azim ,Amrita Bakshi ,Vije Bhatia ,Smita Jaykar"
Kasturi,6.8,Drama,The show revolves around a middle class girl Kasturi who works for a Rockstar.,2007–2010,"Shubhangi Atre Poorey ,Karan Patel ,Bharat Chawda ,Nandish Singh Sandhu"
Kis Desh Mein Hai Meraa Dil,5.2,Drama,Eternal and passionate love story of Prem and Heer who are destined to be together from their childhood.,2008–2010,"Ajay Kumar Nain ,Additi Gupta ,Harshad Chopra ,Sushant Singh Rajput"
Kkavyanjali,4.4,Drama,"This story about Kavya-Anjali (mix named Kavyanajli). Kkavya, son of Mayank Nanda, returns to India from the US. He falls in love with Anjali in Shimla, but Anjali has no idea of his ...                See full summary »",2005–2006,"Anita Hassanandani Reddy ,Amrita Singh ,Vikrant Rai ,Eijaz Khan"
Kora Kagaz,7.2,Drama,"Pooja, a new bride, is abandoned by her husband right after marriage. She tries to put her life together with the support of her brother-in-law. The show revolved around Pooja's choices and how she comes to terms with reality.",1998–1999,"Salil Ankola ,Amit Behl ,Renuka Shahane ,S.M. Zaheer"
Kya Qusoor Hai Amala Ka?,8.0,Drama,"Amala, A beautiful girl who lives a humble life with her brother in dharmashala, an unfortunate incident takes place in her life which shatters her dreams.",2017,"Pankhuri Awasthi ,Rajveer Singh ,Rajveer Singh ,Suparna Moitra"
Love Ka Hai Intezaar,6.7,"Drama, Romance","Actress Kamini Mathur is an ordinary girl at heart, looking for true love and then she meets Madhav Singh Ranawat, a Rajasthani prince. Will these star-crossed lovers find a way to be together?",2017,"Preetika Rao ,Mohit Sehgal ,Keith Sequeira ,Sanjeeda Sheikh"
Love U Zindagi,9.4,Drama,"Geet lives life to the fullest; she comes across Aditya, who's mending his broken heart. They meet each other on a train journey and from there on, the memorable journey of love begins.",2011,
Mann Kee Awaaz Pratigya,6.8,Drama,"The story is based in Allahabad, Uttar Pradesh, India, a place which is largely male dominated and women lead very sheltered and withdrawn lives. Pratigya-who lives here is a educated young...                See full summary »",2009–2012,"Pooja Gaur ,Arhaan Behl ,Kunal Karan Kapoor ,Anirudh Singh"
Manzil,0.0,Drama,Add a Plot,1995–1996,
Maryada: Lekin Kab Tak?,8.8,Drama,Story of a girl who tries to take out the bitter truth of her life but fall in love with someone whose family member constantly reminds her past.,2010–2012,"Raqesh Bapat ,Riddhi Dogra ,Dakssh Ajit Singh ,Kim Calera"
Miilee,,"Comedy, Romance","Miilee a young orphan girl, living in a convent in Shimla. Living among-st the nuns, young Miilee leads a very simple and carefree life loved and adored by all around her, she often gets ...                See full summary »",,"Mona Wasu ,Ajay Gehi ,Kiran Kumar ,Aashif Sheikh"
Mitwa - Phool Kamal Ke,6.6,Drama,The drama is set in UP where rigid caste system and tradition prevail.,2009–2010,"Manish Wadhwa ,Shahbaaz Khan ,Swati Chitnis ,Tanvi Bhatia"
Navya: Naye Dhadkan Naye Sawaal,7.4,"Drama, Romance",Soft-spoken Navya falls in love with good-natured Anant. They get married after the initial hiccups but life is not all roses.,2011–2012,"Shaheer Sheikh ,Saumya Seth ,Muskkaan Sayed ,Gaurav Roopdas"
Pal Chin,0.0,Drama,Add a Plot,1998–1999,"Arun Govil ,Anant Jog ,Cezanne Khan ,Savita Prabhune"
Phir Bhi Na Maane Badtameez Dil,7.2,Romance,Add a Plot,2015,"Pearl Puri ,Asmita Sood ,Suyyash Rai ,Vindhya Tiwari"
Pyaar Ka Dard Hai Meetha Meetha Pyaara Pyaara,4.3,Drama,"Rich boy Aditya who doesn't believe in marriage; whereas small town Pankhuri who thinks""marriage is for keeps""come together amidst broken with pure soul and property feuds",2012–2014,"Nakuul Mehta ,Disha Parmar ,Swarna Bharat ,Mandar Jadhav"
"Pyaar Ke Do Naam: Ek Radha, Ek Shyaam",6.5,Romance,"""Pyaar Ke Do Naam"" is an original drama about the concept of true love and reincarnation. It revolves around a couple, Raadha and Shyaam, who are destined to love each other but are unable ...                See full summary »",2006,"Barkha Bisht ,Indraneil Sengupta ,Tarun Khanna ,Ramesh Deo"
Saboot,0.0,Thriller,"Saboot is a detective series with Anita Kanwar playing Inspector KC who is not your run of the mill detective. She appears confused and anxious but behind all this, she is a very observant ...                See full summary »",1998–1999,"Parmeet Sethi ,Beena Banerjee ,Vikram Gokhale ,Anita Kanwar"
Sajan Ghar Jana Hai,7.9,Drama,Add a Plot,2009–2010,"Damini Joshi ,Neha Saxena ,Kunal Bhatia ,Zalak Desai"
Sangam,8.2,Drama,"Sangam is the story of a young girl named Ganga, who is ambitious and believes in following her father's dreams and giving the best to her family. Her parents are her support pillars who ...                See full summary »",2007–2009,"Jennifer Winget ,Sangita Patel ,Chaitanya Choudhury ,Shaleen Bhanot"
Saraswatichandra,6.0,Romance,"In this classic tale of love and heartbreak, Saras and Kumud are soulmates who are repeatedly denied the joy of being together. Will destiny bring them together?",2013–2014,"Gautam Rode ,Jennifer Winget ,Varun Kapoor ,Anshul Trivedi"
Sasural Genda Phool,7.4,Drama,"A high profile girl, Suhana (Ragini Khanna), gets married to a middle-class boy, Ishaan Kashyap (Jay Soni), who lives with his entire family in Chandni Chowk, Delhi. The show centers on how...                See full summary »",2010–2012,"Ragini Khanna ,Jay Soni ,Supriya Pilgaonkar ,Shruti Ulfat"
Siya Ke Ram,7.8,History,Traces the story of ramayan character Sita from a very different perspective. For the first time the story is televised in this detail.,2015–2016,"Madirakshi Mundle ,Ashish Sharma ,J. Karthik ,Danish Akhtar Saifi"
Tanha,0.0,Drama,Add a Plot,1997–1999,"Atul Agnihotri ,Milind Soman ,Iravati Harshe ,Sushma Seth"
Tere Liye,7.6,Romance,"Tere Liye story revolves around a love story between Anurag and Taani. They traverse different phases of life from childhood. Finally, they reach to the adulthood. The story reveals the life story of two people and their emotional bond.",2010–2011,"Harshad Chopra ,Anupriya Kapoor ,Rajat Tokas ,Ruchi Savarn Mohan"
Thodi Si Zameen Thoda Sa Aasmaan,1.8,Drama,"The story of Uma, a 27-year old obedient daughter of a mill worker, who undertakes several jobs to run the family ever since the mill has shut. Set in the heart of Mumbai in a middle class ...                See full summary »",2007,"Pratik Yadav ,Smriti Malhotra-Irani ,Jaya Bhattacharya ,Usha Nadkarni"
Tere Sheher Mein,7.5,Drama,"The coming-of-age of Amaya Mathur, born to a rich father, whose shocking suicide leaves the family in doldrums. But the worse is yet to come, when the family has to move to Banaras.",2015,"Gautami Kapoor ,Hiba Nawab ,Anjum Fakih ,Dhruv Bhandari"
Tere Mere Sapne,5.5,Drama,"The story, focuses on the issue of migration when youths from rural North India come to the city of dreams, Mumbai, but are exploited. Sarju comes to Mumbai to make a living for his family,...                See full summary »",2009–2011,"Saurabh Pandey ,Yash Pandit ,Ekta Tiwari ,Shashi Ranjan"
Tujh Sang Preet Lagai Sajna,7.5,Drama,Balwant and Vikramaditya used to be best friends despite the fact that the latter was a land owner and the former was a farmer. Their friendship was an example for everyone and they were ...                See full summary »,2008–2010,"Puja Banerjee ,Kunal Verma ,Varun Kapoor ,Sandeep Baswana"
Ssshhhh... Koi Hai,7.5,"Action, Adventure, Drama",A non hosted horror anthology series.,2001–2004,"K.K. Goswami ,Vishnu Sharma ,Shahbaaz Khan ,Mamik Singh"
Shaka Laka Boom Boom,7.5,"Adventure, Family, Fantasy","A guy gets a magic pencil, which makes pictures real",2000–2004,"Kinshuk Vaidya ,Hansika Motwani ,Jennifer Winget ,Sainee Raj"
Shararat,7.4,"Comedy, Fantasy, Romance","The story revolves around how different people in the family adjust to the magical powers of naani and her daughters, who use their magical powers for their needs.",2003–2006,"Shruti Seth ,Farida Jalal ,Karanvir Bohra ,Mahesh Thakur"
Silsila Pyaar Ka,0.0,"Drama, Romance",The story revolves around student Raunak Tiwari and his overly possessive mother Janki.,2016,"Shilpa Shirodkar ,Chhavi Pandey ,Abhay Vakil ,Vikas Bangar"
Kullfi Kumarr Bajewala,5.1,"Drama, Family, Musical","The story follows the journey of a young singing prodigy Kullfi, who sets out to find her father, Sikandar Singh Gill.",2018–2020,"Aakriti Sharma ,Mohit Malik ,Myra Singh ,Anjali Anand"
Kasautii Zindagii Kay,2.7,Drama,The story of Anurag and Prerna. It is the story of the trials and tribulations their love faces.,2001–2008,"Shweta Tiwari ,Urvashi Dholakia ,Ronit Roy ,Cezanne Khan"
Har Shaakh Pe Ullu Baithaa Hai,6.6,Comedy,"Set in the fictitious Ulta Pradesh, this political satire revolves around the cunning minister, Chaitu Laal. He and his family take full advantage of the public resources and the perks that...                See full summary »",2018,"Rajeev Nigam ,Samta Sagar ,Ishtiyak Khan ,Shaukat Ali"
Qayamat Ki Raat,5.8,"Horror, Thriller","An evil tantrik's curse on a family and how it destroys the peace and the well-being of the village, and every person that lives there.",2018–2019,"Karishma Tanna ,Vivek Dahiya ,Daljeet Kaur ,Gaurrav Walia"
Krishna Chali London,7.3,Drama,"Set in Kanpur, rich and spoiled Radhe gets married to a studious Krishna. While all Radhe want is a little love, the wedding crushes Krishna's aspirations, leaving her miserable. Will this mismatched couple ever find a middle ground?",2018–2019,"Megha Chakraborty ,Gaurav Sareen ,Karan Vohra ,Rahul Tomar"
